id,tournament,year,p1,p2
MG-RjlqyaJI,Australian Open,2021,Djokovic,Medvedev
V96sSCV03ng,Wimbledon,2018,Djokovic,Nadal
3FrNVOfQVfU,Wimbledon,2015,Brown,Nadal
zD162uH4i8U,Wimbledon,2013,Djokovic,Murray
g2-CAWnLa1Y,Wimbledon,2015,Brown,Nadal
AGW3o-7Hx50,Australian Open,2020,Djokovic,Thiem
uEDXMRYe0zo,Australian Open,2016,Djokovic,Federer
9gUvgm23qMU,Australian Open,2017,Federer,Nadal
SLSa-62hgRA,US Open,2014,Federer,Monfils
xNbXf4-BSSA,Australian Open,2012,Djokovic,Nadal
zv1g9Pk69F0,Australian Open,2013,Djokovic,Wawrinka
JSkPBR5p-3A,Australian Open,2020,Federer,Sandgren
S5LVbZUgM48,Wimbledon,2018,del Potro,Nadal
Oz17uwgNmYU,US Open,2011,Djokovic,Nadal
mLGcEqse4H4,US Open,2019,Medvedev,Dimitrov
634UMLDrVzc,US Open,2015,Djokovic,Federer
KfhlYB6eL4c,US Open,2016,Djokovic,Wawrinka
y9fqjhGooKk,US Open,2018,Nadal,Thiem
qg4wqo02gfc,US Open,2013,Djokovic,Nadal
e3Wdzdc8Jn8,US Open,2019,Medvedev,Wawrinka
5aULPfGnSSA,US Open,2019,Nadal,Cilic
VbVfqI2cLWo,US Open,2011,Djokovic,Federer
94NzWYO2y0I,US Open,2014,Nishikori,Cilic
3UE8YEvh3AE,US Open,2019,Nadal,Berrettini
rQoZcYOJVOU,US Open,2018,Isner,Raonic
gtf75eXuDwo,Roland Garros,2016,Djokovic,Murray
_7RwWoY_vSw,Roland Garros,2015,Djokovic,Wawrinka
wjr9muuJE0Q,Roland Garros,2015,Nishikori,Tsonga
vzw96_dWtwE,Roland Garros,2013,Djokovic,Nadal
_yY1pQHMb4Y,Roland Garros,2018,Djokovic,Cecchinato
5yqtnhGkOHY,Roland Garros,2015,Djokovic,Nadal
03KFTHgVu7E,Roland Garros,2019,Wawrinka,Tsitsipas
ywmjmAkWAvQ,Roland Garros,2019,Djokovic,Thiem
v2MhLx9wk9M,Roland Garros,2015,Djokovic,Wawrinka
T4S5YmO0KOU,Wimbledon,2019,Nadal,Kyrgios
tbbpFZT4HG4,Roland Garros,2012,Isner,Mathieu
jqq-X4dmfJA,Roland Garros,2020,Wawrinka,Gaston
r3MhHmnIkNQ,Roland Garros,2019,Nishikori,Paire
2KLHG2edXm8,Roland Garros,2013,Wawrinka,Gasquet
3E8nRaS89kg,Roland Garros,2012,Djokovic,Tsonga
CsyDS_QbuA8,Roland Garros,2017,Wawrinka,Murray
TUikJi0Qhhw,Wimbledon,2019,Djokovic,Federer
wZnCcqm_g-E,Wimbledon,2019,Federer,Nadal
